id,name,school,class,rarity,attackType,armorType,role,position,weapon,obtainability,imageUrl
koharu-mizugi,コハル（水着）,トリニティ,アタッカー,1,mystic,heavy,striker,BACK,SL,event,
sakurako,サクラコ,トリニティ,アタッカー,3,mystic,special,striker,MIDDLE,AR,permanent,
sakurako-idol,サクラコ（アイドル）,トリニティ,サポーター,3,explosive,heavy,striker,MIDDLE,AR,limited,
shimiko,シミコ,トリニティ,サポーター,1,explosive,light,special,BACK,AR,permanent,
suzumi,スズミ,トリニティ,サポーター,1,explosive,heavy,striker,MIDDLE,AR,permanent,
suzumi-magical,スズミ（マジカル）,トリニティ,サポーター,3,sonic,special,striker,MIDDLE,AR,limited,
seia,セイア,トリニティ,サポーター,3,piercing,elastic,striker,MIDDLE,HG,limited,
seia-mizugi,セイア（水着）,トリニティ,サポーター,3,piercing,special,striker,MIDDLE,HG,limited,
serina,セリナ,トリニティ,ヒーラー,1,mystic,light,special,BACK,AR,permanent,
serina-christmas,セリナ（クリスマス）,トリニティ,サポーター,3,piercing,special,striker,MIDDLE,AR,permanent,
tsurugi,ツルギ,トリニティ,アタッカー,3,piercing,heavy,striker,FRONT,SG,permanent,
tsurugi-mizugi,ツルギ（水着）,トリニティ,アタッカー,1,mystic,special,striker,FRONT,SG,event,
nagisa,ナギサ,トリニティ,アタッカー,3,explosive,heavy,special,BACK,HG,limited,
nagisa-mizugi,ナギサ（水着）,トリニティ,サポーター,3,sonic,elastic,special,BACK,HG,limited,
natsu,ナツ,トリニティ,タンク,3,mystic,heavy,striker,FRONT,SMG,permanent,
natsu-band,ナツ（バンド）,トリニティ,ヒーラー,3,explosive,special,striker,FRONT,SMG,permanent,
hasumi,ハスミ,トリニティ,アタッカー,2,piercing,heavy,striker,BACK,SL,permanent,
hasumi-mizugi,ハスミ（水着）,トリニティ,アタッカー,3,piercing,light,striker,BACK,SL,limited,
hasumi-taisoufuku,ハスミ（体操服）,トリニティ,アタッカー,1,mystic,special,striker,BACK,SL,event,
hanae,ハナエ,トリニティ,ヒーラー,2,explosive,heavy,special,BACK,AR,permanent,
hanae-christmas,ハナエ（クリスマス）,トリニティ,ヒーラー,3,mystic,special,special,BACK,AR,permanent,
hanako,ハナコ,トリニティ,ヒーラー,2,piercing,special,special,BACK,AR,permanent,
hanako-mizugi,ハナコ（水着）,トリニティ,アタッカー,3,sonic,heavy,striker,MIDDLE,AR,limited,
hinata,ヒナタ,トリニティ,アタッカー,3,mystic,heavy,striker,MIDDLE,HG,permanent,
hinata-mizugi,ヒナタ（水着）,トリニティ,アタッカー,3,explosive,light,special,BACK,HG,limited,
hifumi,ヒフミ,トリニティ,サポーター,3,piercing,light,striker,MIDDLE,AR,permanent,
hifumi-mizugi,ヒフミ（水着）,トリニティ,T.S,3,piercing,heavy,special,BACK,AR,permanent,
mashiro,マシロ,トリニティ,アタッカー,3,explosive,heavy,special,BACK,SL,permanent,
mashiro-mizugi,マシロ（水着）,トリニティ,アタッカー,3,mystic,light,special,BACK,SL,limited,
marie,マリー,トリニティ,サポーター,2,mystic,special,special,BACK,HG,permanent,
marie-idol,マリー（アイドル）,トリニティ,ヒーラー,3,explosive,heavy,striker,MIDDLE,HG,limited,
marie-taisoufuku,マリー（体操服）,トリニティ,ヒーラー,3,mystic,special,striker,MIDDLE,HG,limited,
mika,ミカ,トリニティ,アタッカー,3,piercing,light,striker,FRONT,SMG,limited,
mika-mizugi,ミカ（水着）,トリニティ,アタッカー,3,sonic,special,striker,FRONT,SMG,limited,
mine,ミネ,トリニティ,タンク,3,explosive,light,striker,FRONT,SG,permanent,
mine-idol,ミネ（アイドル）,トリニティ,タンク,1,explosive,heavy,striker,FRONT,SG,event,
yoshimi,ヨシミ,トリニティ,アタッカー,1,piercing,heavy,special,BACK,AR,permanent,
yoshimi-band,ヨシミ（バンド）,トリニティ,アタッカー,3,explosive,special,striker,MIDDLE,AR,limited,
love,ラブ,トリニティ,アタッカー,1,sonic,special,striker,FRONT,SG,event,
reisa,レイサ,トリニティ,タンク,3,piercing,heavy,striker,FRONT,SG,permanent,
reisa-magical,レイサ（マジカル）,トリニティ,ヒーラー,3,sonic,special,special,BACK,SG,limited,

akari,アカリ,ゲヘナ,アタッカー,2,explosive,heavy,striker,MIDDLE,AR,permanent,
akari-shougatsu,アカリ（正月）,ゲヘナ,T.S,3,mystic,special,special,BACK,AR,permanent,
ako,アコ,ゲヘナ,サポーター,3,mystic,heavy,special,BACK,HG,permanent,
ako-dress,アコ（ドレス）,ゲヘナ,サポーター,3,explosive,special,striker,MIDDLE,HG,limited,
aru,アル,ゲヘナ,アタッカー,3,explosive,light,striker,BACK,SL,permanent,
aru-dress,アル（ドレス）,ゲヘナ,サポーター,3,piercing,heavy,striker,BACK,SL,permanent,
aru-shougatsu,アル（正月）,ゲヘナ,アタッカー,3,piercing,special,striker,BACK,SL,limited,
iori,イオリ,ゲヘナ,アタッカー,3,piercing,heavy,striker,BACK,SL,permanent,
iori-mizugi,イオリ（水着）,ゲヘナ,アタッカー,3,explosive,special,striker,BACK,SL,limited,
izumi,イズミ,ゲヘナ,アタッカー,3,explosive,light,striker,BACK,MG,permanent,
izumi-shougatsu,イズミ（正月）,ゲヘナ,サポーター,3,explosive,light,special,BACK,MG,permanent,
izumi-mizugi,イズミ（水着）,ゲヘナ,サポーター,1,explosive,light,striker,BACK,MG,event,
ibuki,イブキ,ゲヘナ,サポーター,1,mystic,heavy,striker,MIDDLE,AR,event,
ibuki-mizugi,イブキ（水着）,ゲヘナ,サポーター,3,explosive,special,special,BACK,SL,limited,
iroha,イロハ,ゲヘナ,T.S,3,mystic,heavy,special,BACK,HG,permanent,
iroha-mizugi,イロハ（水着）,ゲヘナ,アタッカー,3,explosive,special,striker,MIDDLE,HG,limited,
erika,エリカ,ゲヘナ,サポーター,3,sonic,light,special,BACK,SG,permanent,
kasumi,カスミ,ゲヘナ,アタッカー,3,sonic,heavy,striker,MIDDLE,HG,permanent,
kasumi-mizugi,カスミ（水着）,ゲヘナ,サポーター,3,piercing,special,special,BACK,HG,permanent,
kayoko,カヨコ,ゲヘナ,サポーター,2,explosive,heavy,striker,MIDDLE,HG,permanent,
kayoko-dress,カヨコ（ドレス）,ゲヘナ,アタッカー,3,piercing,light,striker,MIDDLE,HG,permanent,
kayoko-shougatsu,カヨコ（正月）,ゲヘナ,サポーター,3,mystic,special,striker,MIDDLE,HG,permanent,
kirara,キララ,ゲヘナ,アタッカー,3,sonic,light,striker,MIDDLE,AR,permanent,
satsuki,サツキ,ゲヘナ,アタッカー,3,explosive,heavy,special,BACK,HG,permanent,
satsuki-mizugi,サツキ（水着）,ゲヘナ,ヒーラー,3,sonic,elastic,striker,MIDDLE,HG,limited,
juri,ジュリ,ゲヘナ,サポーター,1,explosive,light,special,BACK,SG,permanent,
juri-arubaito,ジュリ（アルバイト）,ゲヘナ,タンク,3,mystic,light,striker,FRONT,SG,permanent,
junko,ジュンコ,ゲヘナ,アタッカー,2,piercing,light,striker,MIDDLE,AR,permanent,
junko-shougatsu,ジュンコ（正月）,ゲヘナ,アタッカー,1,mystic,heavy,striker,MIDDLE,AR,event,
sena,セナ,ゲヘナ,T.S,3,mystic,light,special,BACK,GL,permanent,
sena-shifuku,セナ（私服）,ゲヘナ,ヒーラー,3,sonic,heavy,striker,MIDDLE,GL,permanent,
chiaki,チアキ,ゲヘナ,アタッカー,3,sonic,special,striker,MIDDLE,AR,permanent,
chiaki-mizugi,チアキ（水着）,ゲヘナ,アタッカー,1,piercing,heavy,special,BACK,SL,event,
chinatsu,チナツ,ゲヘナ,ヒーラー,1,piercing,light,special,BACK,HG,permanent,
chinatsu-onsen,チナツ（温泉）,ゲヘナ,サポーター,3,mystic,light,striker,MIDDLE,HG,permanent,
haruka,ハルカ,ゲヘナ,タンク,1,explosive,light,striker,FRONT,SG,permanent,
haruka-dress,ハルカ（ドレス）,ゲヘナ,アタッカー,3,explosive,light,striker,FRONT,SG,permanent,
haruka-shougatsu,ハルカ（正月）,ゲヘナ,サポーター,3,explosive,light,special,BACK,SG,permanent,
haruna,ハルナ,ゲヘナ,アタッカー,3,mystic,heavy,striker,BACK,SL,permanent,
haruna-taisoufuku,ハルナ（体操服）,ゲヘナ,ヒーラー,3,sonic,heavy,special,BACK,SL,permanent,
haruna-shougatsu,ハルナ（正月）,ゲヘナ,アタッカー,3,explosive,light,striker,BACK,SL,limited,
hina,ヒナ,ゲヘナ,アタッカー,3,explosive,heavy,striker,BACK,MG,permanent,
hina-dress,ヒナ（ドレス）,ゲヘナ,アタッカー,3,explosive,elastic,striker,BACK,MG,limited,
hina-mizugi,ヒナ（水着）,ゲヘナ,アタッカー,3,explosive,heavy,striker,BACK,MG,limited,
fuuka,フウカ,ゲヘナ,ヒーラー,2,explosive,heavy,special,BACK,SMG,permanent,
fuuka-shougatsu,フウカ（正月）,ゲヘナ,サポーター,3,piercing,special,special,BACK,SMG,limited,
makoto,マコト,ゲヘナ,アタッカー,3,piercing,special,special,BACK,SL,limited,
makoto-mizugi,マコト（水着）,ゲヘナ,アタッカー,3,mystic,heavy,striker,BACK,SL,limited,
mutsuki,ムツキ,ゲヘナ,アタッカー,2,explosive,light,striker,BACK,MG,permanent,
mutsuki-dress,ムツキ（ドレス）,ゲヘナ,アタッカー,3,mystic,heavy,special,BACK,MG,permanent,
mutsuki-shougatsu,ムツキ（正月）,ゲヘナ,アタッカー,3,mystic,heavy,striker,BACK,MG,limited,
megu,メグ,ゲヘナ,アタッカー,3,explosive,special,striker,FRONT,FT,permanent,

akane,アカネ,ミレニアム,サポーター,2,piercing,light,striker,MIDDLE,HG,permanent,
akane-bunny,アカネ（バニーガール）,ミレニアム,アタッカー,3,mystic,heavy,special,BACK,HG,permanent,
akane-seifuku,アカネ（制服）,ミレニアム,アタッカー,3,explosive,light,special,BACK,HG,permanent,
asuna,アスナ,ミレニアム,アタッカー,1,mystic,light,striker,MIDDLE,AR,permanent,
asuna-bunny,アスナ（バニーガール）,ミレニアム,サポーター,3,mystic,light,striker,MIDDLE,AR,permanent,
asuna-seifuku,アスナ（制服）,ミレニアム,サポーター,3,explosive,heavy,striker,MIDDLE,AR,limited,
arisu,アリス,ミレニアム,アタッカー,3,mystic,special,striker,BACK,RG,permanent,
arisu-maid,アリス（メイド）,ミレニアム,アタッカー,3,mystic,light,striker,BACK,RG,permanent,
arisu-rinsen,アリス（臨戦）,ミレニアム,アタッカー,3,mystic,compositearmor,striker,MIDDLE,AR,limited,
utaha,ウタハ,ミレニアム,アタッカー,2,piercing,heavy,special,BACK,SMG,permanent,
utaha-ouendan,ウタハ（応援団）,ミレニアム,アタッカー,3,mystic,special,striker,FRONT,SMG,permanent,
eimi,エイミ,ミレニアム,タンク,3,explosive,light,striker,FRONT,SG,permanent,
eimi-mizugi,エイミ（水着）,ミレニアム,サポーター,3,mystic,special,special,BACK,SG,permanent,
eimi-rinsen,エイミ（臨戦）,ミレニアム,アタッカー,3,explosive,light,striker,BACK,SL,permanent,
karin,カリン,ミレニアム,アタッカー,3,piercing,heavy,special,BACK,SL,permanent,
karin-bunny,カリン（バニーガール）,ミレニアム,アタッカー,3,mystic,heavy,striker,BACK,SL,limited,
karin-seifuku,カリン（制服）,ミレニアム,アタッカー,1,explosive,heavy,special,BACK,SL,event,
kei,ケイ,ミレニアム,サポーター,3,mystic,compositearmor,striker,BACK,RG,limited,
kotama,コタマ,ミレニアム,サポーター,1,explosive,light,special,BACK,HG,permanent,
kotama-camp,コタマ（キャンプ）,ミレニアム,サポーター,3,piercing,heavy,striker,MIDDLE,HG,permanent,
kotori,コトリ,ミレニアム,サポーター,1,piercing,light,striker,BACK,MG,permanent,
kotori-ouendan,コトリ（応援団）,ミレニアム,アタッカー,3,explosive,special,striker,BACK,MG,permanent,
koyuki,コユキ,ミレニアム,アタッカー,3,mystic,heavy,striker,BACK,MG,permanent,
koyuki-pajama,コユキ（パジャマ）,ミレニアム,サポーター,3,mystic,light,special,BACK,MG,permanent,
sumire,スミレ,ミレニアム,アタッカー,3,piercing,special,striker,FRONT,SG,permanent,
sumire-arubaito,スミレ（アルバイト）,ミレニアム,サポーター,3,piercing,light,special,BACK,SG,permanent,
chihiro,チヒロ,ミレニアム,アタッカー,3,piercing,heavy,special,BACK,AR,permanent,
toki,トキ,ミレニアム,アタッカー,3,explosive,elastic,striker,MIDDLE,AR,limited,
toki-bunny,トキ（バニーガール）,ミレニアム,アタッカー,3,explosive,light,striker,MIDDLE,AR,permanent,
toki-rinsen,トキ（臨戦）,ミレニアム,サポーター,1,piercing,light,striker,MIDDLE,HG,event,
neru,ネル,ミレニアム,アタッカー,3,piercing,light,striker,FRONT,SMG,permanent,
neru-bunny,ネル（バニーガール）,ミレニアム,タンク,3,explosive,heavy,striker,FRONT,SMG,limited,
neru-seifuku,ネル（制服）,ミレニアム,アタッカー,3,piercing,elastic,striker,FRONT,SMG,limited,
noa,ノア,ミレニアム,サポーター,3,mystic,special,striker,MIDDLE,HG,permanent,
noa-pajama,ノア（パジャマ）,ミレニアム,アタッカー,3,piercing,light,striker,MIDDLE,HG,permanent,
hare,ハレ,ミレニアム,サポーター,2,explosive,light,special,BACK,AR,permanent,
hare-camp,ハレ（キャンプ）,ミレニアム,サポーター,3,explosive,light,striker,MIDDLE,AR,permanent,
hibiki,ヒビキ,ミレニアム,アタッカー,3,explosive,heavy,special,BACK,MT,permanent,
hibiki-ouendan,ヒビキ（応援団）,ミレニアム,アタッカー,1,explosive,light,striker,BACK,MT,event,
himari,ヒマリ,ミレニアム,サポーター,3,piercing,light,special,BACK,HG,permanent,
himari-rinsen,ヒマリ（臨戦）,ミレニアム,T.S,3,piercing,elastic,special,BACK,HG,limited,
maki,マキ,ミレニアム,アタッカー,3,piercing,light,striker,BACK,MG,permanent,
maki-camp,マキ（キャンプ）,ミレニアム,アタッカー,3,explosive,heavy,special,BACK,MG,permanent,
midori,ミドリ,ミレニアム,アタッカー,3,piercing,light,striker,BACK,SL,permanent,
midori-maid,ミドリ（メイド）,ミレニアム,アタッカー,3,sonic,light,striker,BACK,SL,permanent,
momoi,モモイ,ミレニアム,アタッカー,2,piercing,light,striker,MIDDLE,AR,permanent,
momoi-maid,モモイ（メイド）,ミレニアム,アタッカー,3,sonic,light,striker,MIDDLE,AR,permanent,
yuuka,ユウカ,ミレニアム,タンク,2,explosive,heavy,striker,FRONT,SMG,permanent,
yuuka-pajama,ユウカ（パジャマ）,ミレニアム,タンク,3,explosive,heavy,striker,FRONT,SMG,permanent,
yuuka-taisoufuku,ユウカ（体操服）,ミレニアム,タンク,3,mystic,special,striker,FRONT,SMG,limited,
yuzu,ユズ,ミレニアム,アタッカー,3,piercing,special,striker,MIDDLE,GL,permanent,
yuzu-rinsen,ユズ（臨戦）,ミレニアム,サポーター,3,mystic,special,special,BACK,GL,permanent,
yuzu-maid,ユズ（メイド）,ミレニアム,アタッカー,1,explosive,elastic,special,BACK,GL,event,
rio,リオ,ミレニアム,サポーター,3,mystic,elastic,special,BACK,HG,limited,
rio-rinsen,リオ（臨戦）,ミレニアム,アタッカー,3,explosive,special,striker,MIDDLE,HG,limited,
rei,レイ,ミレニアム,アタッカー,3,sonic,light,striker,BACK,RL,permanent,

atsuko,アツコ,アリウス,タンク,3,explosive,special,striker,FRONT,SMG,permanent,
atsuko-mizugi,アツコ（水着）,アリウス,ヒーラー,1,sonic,special,special,BACK,SMG,event,
saori,サオリ,アリウス,アタッカー,3,explosive,special,striker,MIDDLE,AR,permanent,
saori-dress,サオリ（ドレス）,アリウス,アタッカー,3,sonic,light,striker,MIDDLE,AR,permanent,
saori-mizugi,サオリ（水着）,アリウス,アタッカー,3,mystic,heavy,striker,MIDDLE,AR,limited,
subaru,スバル,アリウス,アタッカー,3,mystic,special,striker,MIDDLE,AR,permanent,
hiyori,ヒヨリ,アリウス,サポーター,3,explosive,light,special,BACK,SL,permanent,
hiyori-mizugi,ヒヨリ（水着）,アリウス,アタッカー,3,piercing,heavy,striker,BACK,SL,limited,
misaki,ミサキ,アリウス,アタッカー,3,explosive,special,striker,BACK,RL,permanent,
misaki-mizugi,ミサキ（水着）,アリウス,アタッカー,3,explosive,special,special,BACK,RL,permanent,

kanna,カンナ,ヴァルキューレ,アタッカー,3,piercing,heavy,special,BACK,HG,permanent,
kanna-mizugi,カンナ（水着）,ヴァルキューレ,サポーター,3,explosive,light,striker,MIDDLE,HG,permanent,
kirino,キリノ,ヴァルキューレ,サポーター,2,explosive,special,striker,MIDDLE,HG,permanent,
kirino-mizugi,キリノ（水着）,ヴァルキューレ,サポーター,1,mystic,heavy,special,BACK,HG,event,
konoka,コノカ,ヴァルキューレ,タンク,3,mystic,light,striker,FRONT,SG,permanent,
fubuki,フブキ,ヴァルキューレ,アタッカー,1,piercing,heavy,striker,BACK,SL,event,
fubuki-mizugi,フブキ（水着）,ヴァルキューレ,アタッカー,3,explosive,heavy,special,BACK,SL,permanent,

shigure,シグレ,レッドウィンター,アタッカー,3,explosive,heavy,striker,MIDDLE,GL,permanent,
shigure-onsen,シグレ（温泉）,レッドウィンター,ヒーラー,3,piercing,special,special,BACK,GL,permanent,
takane,タカネ,レッドウィンター,ヒーラー,3,mystic,light,striker,MIDDLE,HG,permanent,
cherino,チェリノ,レッドウィンター,アタッカー,3,piercing,light,striker,MIDDLE,HG,permanent,
cherino-onsen,チェリノ（温泉）,レッドウィンター,T.S,3,explosive,heavy,special,BACK,HG,permanent,
tomoe,トモエ,レッドウィンター,サポーター,1,piercing,special,striker,BACK,SL,event,
tomoe-qipao,トモエ（チーパオ）,レッドウィンター,サポーター,3,mystic,special,special,BACK,SL,permanent,
nodoka,ノドカ,レッドウィンター,サポーター,1,explosive,heavy,special,BACK,SMG,event,
nodoka-onsen,ノドカ（温泉）,レッドウィンター,ヒーラー,3,explosive,special,special,BACK,SMG,permanent,
marina,マリナ,レッドウィンター,タンク,3,piercing,light,striker,FRONT,SMG,permanent,
marina-qipao,マリナ（チーパオ）,レッドウィンター,アタッカー,3,piercing,heavy,striker,FRONT,SMG,permanent,
minori,ミノリ,レッドウィンター,アタッカー,3,explosive,special,special,BACK,AR,permanent,
meru,メル,レッドウィンター,アタッカー,3,piercing,light,striker,MIDDLE,HG,permanent,
momiji,モミジ,レッドウィンター,アタッカー,2,sonic,heavy,striker,BACK,RL,permanent,
yakumo,ヤクモ,レッドウィンター,サポーター,3,explosive,light,special,BACK,HG,permanent,

izuna,イズナ,百鬼夜行,アタッカー,3,mystic,light,striker,FRONT,SMG,permanent,
izuna-mizugi,イズナ（水着）,百鬼夜行,アタッカー,3,mystic,special,striker,FRONT,SMG,limited,
umika,ウミカ,百鬼夜行,アタッカー,3,mystic,special,striker,MIDDLE,AR,permanent,
kaede,カエデ,百鬼夜行,サポーター,3,explosive,special,special,BACK,HG,permanent,
kaho,カホ,百鬼夜行,アタッカー,3,mystic,heavy,striker,MIDDLE,AR,permanent,
kikyou,キキョウ,百鬼夜行,サポーター,3,sonic,heavy,striker,BACK,SL,permanent,
kikyou-mizugi,キキョウ（水着）,百鬼夜行,サポーター,3,sonic,heavy,special,BACK,SL,permanent,
shizuko,シズコ,百鬼夜行,サポーター,2,mystic,special,special,BACK,SG,permanent,
shizuko-mizugi,シズコ（水着）,百鬼夜行,サポーター,1,mystic,heavy,special,BACK,SG,event,
chise,チセ,百鬼夜行,アタッカー,2,mystic,heavy,striker,MIDDLE,GL,permanent,
chise-mizugi,チセ（水着）,百鬼夜行,サポーター,3,mystic,light,striker,MIDDLE,GL,limited,
tsukuyo,ツクヨ,百鬼夜行,タンク,3,mystic,light,striker,FRONT,SMG,permanent,
tsukuyo-dress,ツクヨ（ドレス）,百鬼夜行,タンク,3,piercing,light,striker,FRONT,SMG,permanent,
tsubaki,ツバキ,百鬼夜行,タンク,2,piercing,special,striker,FRONT,SMG,permanent,
tsubaki-guide,ツバキ（ガイド）,百鬼夜行,サポーター,3,piercing,heavy,special,BACK,SMG,permanent,
nagusa,ナグサ,百鬼夜行,アタッカー,3,sonic,elastic,striker,BACK,SL,permanent,
nagusa-mizugi,ナグサ（水着）,百鬼夜行,サポーター,3,explosive,heavy,striker,BACK,SL,permanent,
niya,ニヤ,百鬼夜行,アタッカー,3,sonic,heavy,special,BACK,HG,permanent,
fina,フィーナ,百鬼夜行,アタッカー,1,piercing,light,striker,BACK,MG,permanent,
fina-guide,フィーナ（ガイド）,百鬼夜行,アタッカー,3,explosive,heavy,special,BACK,MG,permanent,
michiru,ミチル,百鬼夜行,アタッカー,1,mystic,light,striker,FRONT,SG,event,
michiru-dress,ミチル（ドレス）,百鬼夜行,ヒーラー,3,explosive,light,special,BACK,SG,permanent,
mimori,ミモリ,百鬼夜行,サポーター,3,mystic,light,striker,MIDDLE,HG,permanent,
mimori-mizugi,ミモリ（水着）,百鬼夜行,サポーター,3,mystic,special,special,BACK,HG,permanent,
yukari,ユカリ,百鬼夜行,アタッカー,3,sonic,heavy,striker,BACK,SL,permanent,
yukari-mizugi,ユカリ（水着）,百鬼夜行,アタッカー,3,piercing,light,striker,BACK,SL,permanent,
renge,レンゲ,百鬼夜行,アタッカー,3,sonic,heavy,striker,BACK,SL,permanent,
renge-mizugi,レンゲ（水着）,百鬼夜行,アタッカー,2,sonic,special,striker,BACK,SL,permanent,
wakamo,ワカモ,百鬼夜行,アタッカー,3,mystic,light,striker,BACK,SL,limited,
wakamo-mizugi,ワカモ（水着）,百鬼夜行,アタッカー,3,piercing,heavy,striker,BACK,SL,permanent,

kisaki,キサキ,山海経,サポーター,3,sonic,elastic,special,BACK,SMG,permanent,
kisaki-mizugi,キサキ（水着）,山海経,サポーター,3,sonic,elastic,striker,FRONT,SMG,permanent,
kokona,ココナ,山海経,ヒーラー,3,piercing,special,striker,MIDDLE,AR,permanent,
saya,サヤ,山海経,アタッカー,3,explosive,light,special,BACK,HG,permanent,
saya-shifuku,サヤ（私服）,山海経,アタッカー,3,piercing,special,special,BACK,HG,permanent,
shun,シュン,山海経,アタッカー,3,explosive,light,striker,BACK,SL,permanent,
shun-youjo,シュン（幼女）,山海経,アタッカー,3,explosive,light,striker,BACK,SL,permanent,
shun-mizugi,シュン（水着）,山海経,アタッカー,3,sonic,light,striker,BACK,SL,permanent,
mina,ミナ,山海経,サポーター,3,explosive,heavy,striker,MIDDLE,HG,permanent,
rumi,ルミ,山海経,ヒーラー,3,explosive,heavy,striker,FRONT,SMG,permanent,
reijo,レイジョ,山海経,サポーター,3,mystic,heavy,striker,MIDDLE,AR,permanent,

eri,エリ,ワイルドハント,アタッカー,3,sonic,special,striker,BACK,SL,permanent,
kanoe,カノエ,ワイルドハント,タンク,3,mystic,heavy,striker,FRONT,SG,permanent,
fuyu,フユ,ワイルドハント,サポーター,3,sonic,special,striker,MIDDLE,HG,permanent,
miyo,ミヨ,ワイルドハント,サポーター,3,sonic,elastic,striker,BACK,SL,permanent,
ritsu,リツ,ワイルドハント,サポーター,3,mystic,special,special,BACK,SMG,permanent,
rena,レナ,ワイルドハント,サポーター,3,explosive,light,striker,MIDDLE,HG,permanent,

aoba,アオバ,ハイランダー,タンク,1,sonic,light,striker,FRONT,SG,event,
nozomi,ノゾミ,ハイランダー,アタッカー,3,sonic,light,striker,MIDDLE,HG,limited,
hikari,ヒカリ,ハイランダー,サポーター,3,sonic,light,striker,MIDDLE,HG,limited,

otogi,オトギ,SRT,アタッカー,1,explosive,special,striker,BACK,SL,event,
kurumi,クルミ,SRT,タンク,3,explosive,light,striker,FRONT,SMG,limited,
saki,サキ,SRT,アタッカー,3,piercing,special,special,BACK,MG,permanent,
saki-mizugi,サキ（水着）,SRT,サポーター,3,explosive,heavy,striker,BACK,MG,permanent,
niko,ニコ,SRT,サポーター,3,explosive,elastic,striker,FRONT,SG,limited,
miyako,ミヤコ,SRT,タンク,3,piercing,heavy,striker,FRONT,SMG,permanent,
miyako-mizugi,ミヤコ（水着）,SRT,タンク,3,explosive,heavy,striker,FRONT,SMG,permanent,
miyu,ミユ,SRT,サポーター,3,piercing,light,striker,BACK,SL,permanent,
miyu-mizugi,ミユ（水着）,SRT,アタッカー,1,explosive,light,special,BACK,SL,event,
moe,モエ,SRT,アタッカー,3,piercing,light,special,BACK,HG,permanent,
moe-mizugi,モエ（水着）,SRT,アタッカー,3,sonic,special,striker,MIDDLE,HG,permanent,

kokoro,ココロ,オデュッセイア,サポーター,3,mystic,special,striker,MIDDLE,AR,permanent,
kotone,コトネ,オデュッセイア,タンク,3,explosive,special,striker,FRONT,AR,permanent,

misaka-mikoto,御坂美琴,常盤台中学,アタッカー,3,piercing,heavy,striker,MIDDLE,AR,limited,
shokuhou-misaki,食蜂操祈,常盤台中学,サポーター,3,explosive,heavy,striker,MIDDLE,HG,limited,

saten-ruiko,佐天涙子,柵川中学,アタッカー,1,piercing,special,special,BACK,SMG,event,

hatsune-miku,初音ミク,その他,サポーター,3,explosive,light,special,BACK,GL,limited,
